CustomerID,Age,Gender,City,TransactionID,TransactionDate,AmountSpent,ProductID,ProductCategory,ProductRating,PaymentMethod,IsReturned,DeliveryStatus,DeliveryTimeDays,DeliveryFee,FeedbackScore,ReviewLength,CustomerSatisfaction
1000,56,Other,City C,10000,2022-01-01 00:00:00,259.52,308,Home,1.2,Debit Card,0,Delivered,4,19.63,Positive,134,Neutral
1001,69,Female,City C,10001,2022-01-01 01:00:00,206.11,496,Toys,3.0,PayPal,0,Delivered,5,9.44,Positive,192,Dissatisfied
1002,46,Female,City C,10002,2022-01-01 02:00:00,27.18,489,Toys,1.1,PayPal,0,Delivered,3,7.16,Neutral,182,Satisfied
1003,32,Male,City C,10003,2022-01-01 03:00:00,478.96,293,Beauty,1.7,Debit Card,0,Delivered,7,13.39,Neutral,143,Neutral
1004,60,Female,City B,10004,2022-01-01 04:00:00,476.67,363,Home,2.5,Credit Card,0,Delivered,2,5.4,Neutral,368,Neutral
1005,25,Male,City C,10005,2022-01-01 05:00:00,143.28,346,Electronics,3.2,Debit Card,0,Delivered,7,12.03,Positive,299,Neutral
1006,38,Other,City A,10006,2022-01-01 06:00:00,367.11,217,Toys,1.7,Credit Card,0,Delivered,5,12.43,Positive,209,Dissatisfied
1007,56,Other,City A,10007,2022-01-01 07:00:00,291.39,327,Beauty,2.1,Debit Card,1,Delivered,9,16.52,Neutral,292,Dissatisfied
1008,36,Other,City A,10008,2022-01-01 08:00:00,122.55,108,Clothing,2.5,Credit Card,0,Delivered,2,8.51,Negative,448,Dissatisfied
1009,40,Male,City A,10009,2022-01-01 09:00:00,134.77,298,Home,1.8,Bank Transfer,0,Delivered,9,12.83,Positive,83,Neutral
1010,28,Female,City B,10010,2022-01-01 10:00:00,248.12,376,Toys,5.0,PayPal,0,Pending,9,18.26,Positive,325,Satisfied
1011,28,Other,City D,10011,2022-01-01 11:00:00,212.52,228,Electronics,4.2,PayPal,0,Delivered,8,9.59,Negative,42,Neutral
1012,41,Female,City D,10012,2022-01-01 12:00:00,149.16,401,Toys,4.2,Debit Card,0,Delivered,5,12.29,Positive,93,Dissatisfied
1013,53,Female,City C,10013,2022-01-01 13:00:00,404.72,161,Electronics,3.3,Debit Card,0,Pending,3,16.17,Positive,392,Dissatisfied
1014,57,Other,City C,10014,2022-01-01 14:00:00,243.32,101,Home,4.8,Credit Card,0,Delivered,1,6.49,Negative,240,Satisfied
